,mu1,lam1,mu2,sigma2,mu3,sigma3,w1,w2,w3,score,Target,Stimulation
0,0.033751712127815824,0.026831639273410018,0.061460173170987786,0.030909274900764297,0.3837882473112639,0.34444024235913084,0.9999998185063955,1.4602692139951812e-07,3.546668316861707e-08,0.06402956405712634,0.0,0.0
0,0.033134269460963935,0.026059196792615227,0.06314898131178456,0.03673177742380655,0.3861723797937594,0.3501969850550752,0.9999999836935449,1.0337843729654605e-08,5.96861138003247e-09,0.06822512848998086,0.0,0.0
0,0.033298383560665265,0.02676729090229221,0.06708787197954477,0.04602148016017201,0.38677734711539546,0.3494586072744646,0.9999997124688459,1.9595797324598376e-07,9.157318085958493e-08,0.06153527170236145,0.0,0.0
0,0.03349291530499873,0.02651909406280289,0.06282182455256849,0.030459013368719697,0.38331199135879407,0.341055075299614,0.9999998677561841,9.648818646212916e-08,3.575562951183133e-08,0.06133451011427238,0.0,0.0
0,0.032973766775586076,0.02586563450678507,0.06308467619615771,0.033693032004966136,0.38509177006299367,0.3474045480311837,0.9999999390936635,4.407160755537908e-08,1.683472902717283e-08,0.06265888114360607,0.0,0.0
0,0.0402526699095634,0.025744595911599402,0.0546022157084782,0.04732568373641674,0.35735047102445117,0.31932715782781723,0.6947215571064482,0.3052784104887468,3.240480499865083e-08,0.06190632932700901,0.0,0.0
0,0.05475819636636695,0.026831492988211803,0.050251328772948925,0.06533522352015476,0.3172122860585719,0.17635940692629481,0.570743158556358,0.42925679801524164,4.342840034034286e-08,0.10880222026263808,0.0,0.0
0,0.03903324968957199,0.02594241669801279,0.05602033467391833,0.040614511113746886,0.35843096148948933,0.32013309699376724,0.7167869245546414,0.2832130556781716,1.9767187012800677e-08,0.0484244849100951,0.0,0.0
0,0.05331757422723519,0.02480800487406368,0.05945720341851514,0.053635126219676615,0.32192750229297556,0.20330538466748188,0.6078592285326929,0.39214075228557155,1.9181735729319357e-08,0.08107057193573802,0.0,0.0
0,0.039408329418153976,0.025314941501358643,0.0542049188208546,0.04917508281253147,0.35512234517092856,0.31623701713155994,0.6808075735610445,0.31919240703675156,1.9402204078949657e-08,0.07136446761815252,0.0,0.0
0,0.05985206355285599,0.028519629131802105,0.0012296362543974457,0.11248629367116883,0.32691656427992855,0.15736609940959265,0.4851979208300993,0.5147875494044926,1.4529765408151562e-05,0.2622096948467155,0.0,0.0
0,0.05960978749713487,0.029354806832783364,5.315389328033462e-07,0.11240690290323106,0.24889679559217687,0.03173759777031583,0.39481920834877665,0.6051807914200106,2.3121273448823559e-10,0.3101567010120783,0.0,0.0
0,0.05936777409409826,0.027255996104347122,0.06841816967646416,0.04865312220446618,0.200024445052991,0.08329084128421393,0.4605875341034044,0.4070828917233221,0.13232957417327332,0.047294259970613844,0.0,0.0
0,0.061062008456342624,0.025399801265617587,0.06320952198751019,0.0568623435959549,0.2000001392912267,0.08186475459568472,0.4100136003712785,0.4694035836004698,0.12058281602825169,0.08304006856115886,0.0,0.0
0,0.07115040671057103,0.02442514993367064,0.0702642416156926,0.057721921094768085,0.20000031084981232,0.07878449002241616,0.3832297315055882,0.46548186309096296,0.151288405403449,0.07128506197335532,0.0,0.0
0,0.05839810870318404,0.027798502501294474,0.06204203225808566,0.075298714138539,0.20000336887974005,0.12200273640426669,0.4018766850767305,0.5106871868781752,0.08743612804509444,0.12252683669559356,0.0,0.0
0,0.07163850588525467,0.03442871174060158,5.9012916538121796e-05,0.11452634742868545,0.330927311236021,0.01447374835308008,0.401153761781922,0.5908387504443497,0.008007487773728238,0.30192491560033113,0.0,0.0
0,0.0633611792518423,0.02960384598624664,4.4096866360066466e-07,0.1124567046222528,0.22439699914911487,0.013189652994099039,0.44101694408910713,0.5589830558971861,1.37066566238212e-11,0.2866112174120798,0.0,0.0
0,0.051625997786243064,0.023380731566656307,0.053431097073412384,0.06020482432216792,0.20014166638609704,0.0994787349568921,0.34567024094230314,0.5431253534585501,0.11120440559914678,0.1151145935368954,0.0,0.0
0,0.06574321004141069,0.030579303654385364,0.06954062334939005,0.048391629054284166,0.20000008645399217,0.06385268542099412,0.5009007025411439,0.3909752293258543,0.10812406813300167,0.043283509722677194,0.0,0.0
0,0.051261949315203385,0.028265837496976136,0.030085673165245564,0.0758512469101152,0.3226238059204837,0.19726095161119653,0.5880936999086916,0.411906282524772,1.7566536388104576e-08,0.1613598521438489,0.0,0.0
0,0.051463759608822726,0.02905011705093793,0.014852746614912907,0.09528355083215428,0.33936137395881294,0.21501203089727183,0.534603780225633,0.465394831394418,1.3883799488815589e-06,0.21138474844420957,0.0,0.0
0,0.04771786731141216,0.02670857875184419,0.03743320693299829,0.07701858190945507,0.32308455722708035,0.17624474180685218,0.5554493767650172,0.4445505918820371,3.135294559269005e-08,0.15350255190590592,0.0,0.0
0,0.04591890871341213,0.027519851751153453,0.04942665729944308,0.06455795929947541,0.3379315090487036,0.2546507886788961,0.6254366763348906,0.3745633163863803,7.278729087184818e-09,0.10330756552794748,0.0,0.0
0,0.03816127077966259,0.027427809326312978,0.038703019967866376,0.0111423739061837,0.36409460851311104,0.33994030130611835,0.9312575185007563,0.06874247939449929,2.1047445842361983e-09,0.051059849850597194,0.0,0.0
0,0.03380439419215112,0.02411019367562027,0.04755649951838357,0.03640697709054355,0.375982686168411,0.35010707330546675,0.7643653100841898,0.23563382552024809,8.643955620281102e-07,0.05328480192878132,0.0,0.0
0,0.038414003883165765,0.027420444881348205,0.06751857423098773,0.049238843094157624,0.3856886053296559,0.35141209398412665,0.9999901330574102,8.841748176015816e-06,1.0251944138560804e-06,0.06874437169040215,0.0,0.0
0,0.03888436642271991,0.027950821961978872,0.06765973828950288,0.05183348508369563,0.3856586245625527,0.34999710813760526,0.9999828992718258,1.535938443952768e-05,1.741343734630568e-06,0.07336605999747825,0.0,0.0
0,0.035252966016848915,0.025213345087165724,0.048495882745451885,0.03119674200717843,0.38064471375991515,0.3532304567285215,0.7639426613048645,0.23604942523167802,7.913463457449845e-06,0.045648141755412375,0.0,0.0
0,0.034474347251384034,0.02438186007253499,0.04972539890901559,0.03150783710135487,0.3785766696327556,0.35058817484872645,0.7686341331933568,0.23136096040321344,4.906403429880899e-06,0.04225837412936406,0.0,0.0
0,0.03864480225707042,0.027886734335927952,0.07017546760472372,0.04738455732898448,0.3801645646831263,0.3505999875753305,0.909515145721946,0.09047621930115324,8.634976900770075e-06,0.033558373661301766,0.0,0.0
0,0.044445373654583356,0.027939832983326623,0.04579166393204447,0.06089491011242133,0.34161790438620737,0.2634061644479226,0.6398514873457258,0.3601485009738904,1.1680383709393203e-08,0.10335614793100983,0.0,0.0
0,0.03391312193879833,0.02369043235747183,0.048000287927780015,0.03229670081915392,0.37590910855509485,0.3514962666478695,0.7435496891657906,0.25644968645156385,6.243826457280914e-07,0.04657705302956211,0.0,0.0
0,0.03390604445681046,0.022942456809138576,0.04754830400776352,0.029794372495323424,0.3635422612513577,0.33836968064988293,0.7263089550245913,0.27369103781297993,7.162428785702632e-09,0.039017733168275115,0.0,0.0
0,0.03817593526123597,0.028387636810241316,0.06719577293117722,0.04622999990926249,0.3850096455834297,0.3489243537891853,0.9999893378811526,9.604599501329401e-06,1.0575193460399218e-06,0.06411468058449665,0.0,0.0
0,0.04859929054697018,0.026390422166374366,0.04659504270942954,0.06191466254638203,0.3350705531807071,0.2436359995217675,0.6007769211939793,0.39922306963661375,9.169406990733342e-09,0.11724581900309122,0.0,0.0
0,0.053222421634989005,0.029639091263553293,0.055404144754910435,0.06265674430623101,0.3285438542327527,0.23290696380287904,0.6319110983575433,0.3680888850461471,1.6596309640128144e-08,0.08638091593973832,0.0,0.0
0,0.05147578111359431,0.025718132403685416,0.04750180683326635,0.05707397277120546,0.32875292300905634,0.2112943799873505,0.5640875907535181,0.43591239778411467,1.1462367147421278e-08,0.10517471548197138,0.0,0.0
0,0.05187225322663376,0.029648152373793576,0.0397915069753236,0.07198823352861965,0.3334983834395664,0.22708094966526748,0.5788219529167802,0.4211780151399426,3.1943277305343025e-08,0.14023859958978857,0.0,0.0
0,0.054939778235507254,0.02495260775141222,8.673454544994228e-05,0.10842467146370169,0.2870197196758987,0.09516566742105272,0.3653195400930689,0.6346804355292159,2.4377715246511572e-08,0.3263782414878232,0.0,0.0
0,0.05727215666687702,0.027973835400972435,0.06423950993541404,0.060534813718565776,0.20018488112376864,0.09897117280963137,0.38320492374068355,0.4720081859358652,0.14478689032345146,0.082891332449049,0.0,0.0
0,0.06075085367303939,0.029724255415253798,1.4457471955522157e-06,0.1290931583916245,0.260001256529643,0.022800505108646892,0.44976591489875795,0.5502339092751469,1.7582609500543102e-07,0.28141003077383525,0.0,0.0
0,0.06148616664782213,0.0355150877721977,1.9771184668608442e-07,0.11739268001458422,0.2295762336181164,0.016329710325278655,0.4852082738944227,0.514791726105342,2.3531606548817815e-13,0.26313875269807596,0.0,0.0
0,0.06681721766226194,0.028164424146186667,0.059787720938274405,0.054654804005259155,0.2000000896323388,0.06932467041900822,0.4271352832504474,0.44259401918748636,0.13027069756206616,0.08471819568582178,0.0,0.0
0,0.06439208540625686,0.03291937787700107,0.00011409061848031488,0.1263571458933052,0.2999654027608683,0.06468132974282159,0.48013712910474415,0.5198476383113976,1.5232583858308036e-05,0.265392463846175,0.0,0.0
0,0.054013075412022875,0.028446986017461064,0.04423516872902083,0.0707182745089944,0.3242093749145407,0.16998466938665863,0.5247434783887426,0.47525630076953773,2.208417195954976e-07,0.1372199454189296,0.0,0.0
