,mu1,lam1,mu2,sigma2,mu3,sigma3,w1,w2,w3,score,Target,Stimulation
0,0.12727484591956703,0.05,2.8593072036504087e-22,0.16897176890807628,0.20000107604113296,0.298169981768437,0.19648280185175485,0.5598951823956502,0.24362201575259498,0.34590400487772877,1.0,0.0
0,0.1047904804970566,0.028702049614764857,0.08360092084425319,0.06464701439165313,0.2000004207602167,0.17152169765969227,0.2959226168313168,0.38149642609401324,0.32258095707466994,0.08703634886690739,1.0,0.0
0,0.12340564516168165,0.04227293576615282,2.7841832181791755e-13,0.15083259026388934,0.20000014347729075,0.32165399159664876,0.26031461992134575,0.4944352351119686,0.24525014496668576,0.317450414262074,1.0,0.0
0,0.16042528424497857,0.04999997792925764,6.083967388039164e-10,0.14963009704640934,0.2000001178500611,0.3115975629910971,0.13110093386535154,0.42043777405260296,0.4484612920820456,0.3324635889571779,1.0,0.0
0,0.093108569772534,0.037983300721633896,0.07890924862254411,0.18624342533363897,0.3513163339632681,0.45426250525374,0.1369641293065821,0.6784548091057314,0.1845810615876865,0.2730351891160933,1.0,0.0
0,0.0917590424087557,0.03702092877439298,0.10584812186713666,0.11721333702228823,0.20000023318693885,0.3713350914245877,0.17069548894461914,0.45962183797790174,0.3696826730774791,0.20056775440152766,1.0,0.0
0,0.07286432642248072,0.03010643596137743,0.06828111194380139,0.07432869266904382,0.20000787916301577,0.1556458403030517,0.3315281111943718,0.42524554535771986,0.24322634344790822,0.10953270767114348,1.0,0.0
0,0.11058644192333861,0.05,1.6676657848449548e-39,0.25824808734104204,0.2000029074918945,0.5723085813405241,0.21984469014421112,0.6855194466870776,0.09463586316871114,0.38052606753297225,1.0,0.0
0,0.05826800197425706,0.04999999919843933,6.448379083909201e-12,0.13371639279186537,0.20000265492317404,0.23463023050900525,0.2378377459753048,0.4864805981584588,0.2756816558662364,0.3029087924253824,1.0,0.0
0,0.09289672808472509,0.03168663863116286,0.0015415662854940948,0.16075952398341678,0.3111511318643806,0.23414272949790932,0.2194928420068637,0.6306498052975806,0.14985735269555556,0.3320595490632688,1.0,0.0
0,0.10357585761079957,0.02858593980151556,9.020936632103234e-11,0.15529467169427702,0.2000004006512755,0.35521901607655537,0.16515768641481582,0.5788868564239846,0.25595545716119966,0.3687183350818176,1.0,0.0
0,0.08636981953840665,0.034110117812114586,1.274562358038347e-34,0.1947027757813763,0.2000055893573607,0.4393769781980704,0.1727732647598139,0.5939247569589956,0.23330197828119045,0.3772617617882362,1.0,0.0
0,0.11166253619045295,0.0266168937680187,0.09373867238592892,0.08697008417363869,0.20000059736825704,0.2478096975559583,0.2542443062483314,0.42291032027658254,0.322845373475086,0.1382118998606004,1.0,0.0
0,0.1541577744950146,0.04999999986397741,6.552820380295308e-11,0.15711324898683454,0.20000018836934808,0.3621567507679421,0.26709440738135554,0.26612279949280554,0.46678279312583904,0.2719811054868725,1.0,0.0
0,0.12934112072440038,0.04999999999999997,1.0405717471324914e-18,0.25443733320975603,0.20000848364638737,0.5516891061291732,0.20712195474013267,0.6937490256256438,0.09912901963422352,0.3858880662068057,1.0,0.0
0,0.1319094708575007,0.04999999989709117,0.0699111477108481,0.16400007251590012,0.2000010917099721,0.43145451883183095,0.1771546576939506,0.4815439549395153,0.3413013873665342,0.2751004681993662,1.0,0.0
0,0.14240314045086322,0.0396361722041524,2.8982052337120755e-10,0.1975378753844951,0.20000109132798638,0.43880545937155147,0.1793736146123101,0.5311009620088774,0.2895254233788126,0.36343179174352663,1.0,0.0
0,0.0675214832237714,0.027799104766619866,0.06356839356270515,0.06745836957191287,0.2000005036973896,0.12756742436307675,0.34709030949878233,0.4362548339864502,0.2166548565147674,0.10101282548119636,1.0,0.0
0,0.08821727818871182,0.02935351776143229,0.08736654749094687,0.08401500450682922,0.20000012667700462,0.26299342066970965,0.3051102318937688,0.3699690050493857,0.3249207630568456,0.14246911781282895,1.0,0.0
0,0.11577648880098741,0.05,1.037438176012081e-12,0.23441677848664638,0.2000031234809219,0.4675659000410405,0.18127960946941854,0.5656834459934228,0.25303694453715886,0.37107349404305895,1.0,0.0
0,0.07192473733340046,0.029917997415787066,0.04177444922204444,0.13989325608519657,0.20001902952641734,0.26076175230369286,0.24818651088388613,0.545314693282357,0.2064987958337568,0.26016918323409965,1.0,0.0
