,mu1,lam1,mu2,sigma2,w1,w2,Target,Stimulation
0,0.044499194140684345,0.026321858086769262,3.2930606707936716e-05,0.08167551178242415,0.5249846710757828,0.4750153289242171,0.0,0.0
0,0.04083684153458061,0.02496387723710323,0.05108877718842225,0.051276930583326503,0.7058264368203353,0.2941735631796646,0.0,0.0
0,0.05805228878209513,0.029574405645279144,0.0031467572556967294,0.10146453379659008,0.443930230460436,0.556069769539564,0.0,0.0
0,0.04035130641736796,0.02368502160860434,8.827915734207664e-05,0.07350870428608931,0.5633158626043824,0.4366841373956177,0.0,0.0
0,0.04197365324341887,0.024825369651711775,0.05720973840915831,0.040125246851967826,0.6785480403814189,0.321451959618581,0.0,0.0
0,0.0428492717821598,0.024805490749675946,0.05236475220885794,0.04796819881449608,0.6424529503733395,0.3575470496266604,0.0,0.0
0,0.04325468856648306,0.025143229195868484,0.051264010808777405,0.05226141200802141,0.6687376675289932,0.3312623324710067,0.0,0.0
0,0.04080799128133939,0.023511679826010608,0.05295058124615085,0.042380748575806135,0.6510074090531953,0.3489925909468047,0.0,0.0
0,0.04662252192985325,0.026143944926781765,0.04031525139590498,0.08048038738764492,0.5758101428982343,0.4241898571017656,0.0,0.0
0,0.04172913337077654,0.026921882788129105,9.185928682352774e-05,0.07888338362518293,0.5799117699719041,0.4200882300280959,0.0,0.0
0,0.042627776901759784,0.025875270188651968,0.05557941024784585,0.04856849502360622,0.6951072425116253,0.30489275748837474,0.0,0.0
0,0.040851430163242414,0.02631612609588363,8.51839442650222e-05,0.07256425943406362,0.6506060742684027,0.3493939257315972,0.0,0.0
0,0.04434863478275378,0.026510073707982678,0.0561902729343438,0.04283369132175716,0.6744655209053928,0.32553447909460714,0.0,0.0
0,0.05501260616991493,0.02763846243448016,0.04805136532752022,0.07066506122100594,0.5332282557796382,0.46677174422036183,0.0,0.0
0,0.05661112988186409,0.028843781503411815,0.030862961058018324,0.0908208557974832,0.4891025553650513,0.5108974446349488,0.0,0.0
0,0.06116019235165794,0.030667707042332185,0.03180692768547806,0.09816099411466052,0.5264317431802513,0.4735682568197486,0.0,0.0
0,0.06018604858794555,0.03886057383650108,2.0832204034724146e-07,0.13302717673885306,0.48912298666124393,0.5108770133387561,0.0,0.0
0,0.07282031181714309,0.026816875753510248,0.023181389741107988,0.11336421685733772,0.43403569332481357,0.5659643066751864,0.0,0.0
0,0.07203772747160944,0.03243584454251266,2.6960291718534926e-07,0.12731644124818506,0.4206304727837359,0.5793695272162641,0.0,0.0
0,0.0747365710011919,0.030188596063857556,1.7178266603475218e-07,0.13322738712399246,0.39679011608016707,0.6032098839198328,0.0,0.0
0,0.0728024914078315,0.026865608537969488,3.0074782982829886e-07,0.12878475122167782,0.3578298530493687,0.6421701469506313,0.0,0.0
0,0.07907441038755819,0.03607350857441915,5.109987153750599e-07,0.14903906557048474,0.4484209980101304,0.5515790019898696,0.0,0.0
0,0.07155634258370001,0.02772914834240693,0.02488663694502108,0.10496371629235995,0.4253575226181173,0.5746424773818828,0.0,0.0
0,0.07861564058729069,0.03321825299851899,0.006833919668736849,0.1158949750201452,0.42361308794130004,0.5763869120587,0.0,0.0
0,0.07861656348748469,0.030334097190409026,2.260885888884433e-06,0.12327435326971072,0.34253267604404397,0.6574673239559561,0.0,0.0
0,0.06313136407311934,0.03006138764815304,9.299950533411584e-06,0.11844248048998869,0.4080503418383114,0.5919496581616887,0.0,0.0
0,0.05681743812397205,0.02842144423122495,1.299281524724562e-06,0.11919185941546044,0.4231156171385939,0.5768843828614061,0.0,0.0
0,0.05110120036409591,0.0274491043160313,0.03570894568526657,0.08202959953609659,0.5736726001494756,0.42632739985052437,0.0,0.0
0,0.04368149392561726,0.025635532976570483,0.055489047550485,0.055897378474474665,0.6784505178918091,0.32154948210819084,0.0,0.0
0,0.032335135511934184,0.02177201148407797,0.048082859520720334,0.029174063737491825,0.7349377978704889,0.26506220212951115,0.0,0.0
0,0.040628971604585735,0.025659437853722225,0.052990924508803806,0.04104551753879536,0.7079484951144085,0.29205150488559156,0.0,0.0
0,0.03401022126953059,0.02387128186860664,0.0474362032490555,0.02974815711079557,0.7981483375211113,0.2018516624788886,0.0,0.0
0,0.034145669661665635,0.023177433950515004,0.047043698624407465,0.02990054751104191,0.743820807932596,0.2561791920674041,0.0,0.0
0,0.03556004977415481,0.02309558268133024,0.04615816556428575,0.02924984562827158,0.734802492591834,0.265197507408166,0.0,0.0
0,0.03272965041424608,0.02588299038460095,0.0002110410924095316,0.06100991556618749,0.6786441764783626,0.32135582352163733,0.0,0.0
0,0.03846886207757481,0.02445364806441235,0.04829580288782636,0.04068537129280477,0.6721149628487697,0.32788503715123024,0.0,0.0
