,mu1,lam1,mu2,sigma2,w1,w2,Target,Stimulation
0,0.09427635008365552,0.03889496889779457,1.7139724648176206e-07,0.1730081624926601,0.4241737507432637,0.5758262492567363,1.0,0.0
0,0.2,0.07403393648612062,1.9641355807875108e-08,0.3281682721331139,0.43472254477471095,0.5652774552252889,1.0,0.0
0,0.17377535192680713,0.08833788558093797,3.939397309430933e-08,0.3667047056283236,0.5109066252911268,0.48909337470887315,1.0,0.0
0,0.11878370782042302,0.03232390802408873,5.881205148192438e-07,0.216707471280236,0.35043942781693294,0.6495605721830672,1.0,0.0
0,0.18575002147556324,0.08446119383429142,2.764631353229197e-08,0.3084770394693244,0.35138176763368384,0.6486182323663162,1.0,0.0
0,0.1438682973329589,0.054137391268214555,2.6683116294761638e-08,0.3267097277447831,0.270013889255192,0.729986110744808,1.0,0.0
0,0.15701056342770775,0.03662783012939547,5.161229300904582e-05,0.2910293192402609,0.21370755163382674,0.7862924483661733,1.0,0.0
0,0.1866391844820411,0.08573569190788584,3.0439108785932314e-07,0.3288589130102403,0.3159900185194913,0.6840099814805087,1.0,0.0
0,0.16682843541839337,0.039145818033284756,2.8099489731539253e-08,0.3185392810173527,0.29296443166614144,0.7070355683338586,1.0,0.0
0,0.19999999441943905,0.06600479604216282,5.0799016137386715e-08,0.26677360835449676,0.3280498736826731,0.671950126317327,1.0,0.0
0,0.18723357924565948,0.0809151937385408,2.4679221742822748e-08,0.28840426121466084,0.3893945165874566,0.6106054834125434,1.0,0.0
0,0.15455991718120482,0.05270458604373977,6.891852399368007e-08,0.2962069981171997,0.26510798596050256,0.7348920140394974,1.0,0.0
0,0.12651126231475138,0.06933950316469677,4.413191062096458e-07,0.24678579492328365,0.44920256649140705,0.550797433508593,1.0,0.0
0,0.17054191910347416,0.058743117865342344,2.3832854444533388e-08,0.3492140006617704,0.36200252660300686,0.6379974733969931,1.0,0.0
0,0.19999999927557,0.07148360006118532,5.110253572737779e-07,0.34874759552838436,0.366950733285461,0.633049266714539,1.0,0.0
0,0.14520201560657148,0.047955099448594496,5.2516563538609156e-08,0.217421105821343,0.43921301910982874,0.5607869808901712,1.0,0.0
0,0.17740409152466996,0.05394628317048663,2.7033009327612923e-08,0.3626643063645023,0.43497829226371576,0.5650217077362842,1.0,0.0
0,0.2,0.0667424514953609,3.5859684614000515e-08,0.31774931966910475,0.4073942636452052,0.5926057363547947,1.0,0.0
0,0.1999999999999984,0.05880668021357701,3.0736001801903424e-08,0.29333597261542055,0.43639823340622613,0.5636017665937738,1.0,0.0
0,0.12093879227516431,0.056754493507190654,2.883956494518977e-08,0.35740656463365594,0.3186083003952902,0.6813916996047098,1.0,0.0
0,0.1386717830970248,0.054292992665344854,3.261673950304269e-07,0.3574826524498985,0.33262392170625094,0.667376078293749,1.0,0.0
0,0.19999999999999996,0.05875454722346512,4.5213471848929036e-07,0.3205122660340214,0.4163529689823359,0.583647031017664,1.0,0.0
0,0.1584438271493748,0.06686428631280406,5.2408432371446785e-08,0.33126959789376914,0.357263902862914,0.6427360971370859,1.0,0.0
0,0.10391518217887435,0.05127149275047478,6.679405144624025e-08,0.2780728024003664,0.428764818096361,0.571235181903639,1.0,0.0
0,0.1744667226654243,0.06985096637065077,3.058913928861325e-07,0.3366842990353881,0.4626461861363213,0.5373538138636785,1.0,0.0
0,0.158315612179946,0.0584288574575961,2.0694322138206037e-06,0.3494400280016596,0.3670579197332556,0.6329420802667445,1.0,0.0
0,0.19999999999999934,0.056821357402153126,1.2129405687566435e-07,0.3387523085721341,0.3940551312326748,0.6059448687673251,1.0,0.0
0,0.08187113868398513,0.030920599746408296,8.093082783368091e-08,0.17086464882398855,0.3594869912888213,0.6405130087111789,1.0,0.0
0,0.11165960411467701,0.04089270065147386,4.016293804113281e-08,0.18857097078406332,0.5027847254115085,0.4972152745884914,1.0,0.0
0,0.1999982690270877,0.07744138197593206,1.2989140551440099e-07,0.3047207273548941,0.2662609129003189,0.733739087099681,1.0,0.0
0,0.17044177799937477,0.0625909398458964,4.3211208592349194e-08,0.2721930023526013,0.38031528072204573,0.6196847192779542,1.0,0.0
0,0.14456455118133632,0.06191760029276512,1.8965809415463136e-07,0.3450963870166034,0.3490303862950937,0.6509696137049064,1.0,0.0
0,0.13314817030778844,0.030263075063858856,2.7039988304189005e-08,0.31931291003098694,0.23051569327523252,0.7694843067247674,1.0,0.0
0,0.19285484769844688,0.05846691815067458,4.0453913508836e-07,0.299071279216326,0.23399157862271358,0.7660084213772864,1.0,0.0
0,0.006901084938923415,0.7385939607792201,1.7014403009267585e-10,0.3176868645013773,0.013285537320742086,0.9867144626792579,1.0,0.0
0,0.12378780082192416,0.04033931840476224,3.418680036198736e-08,0.28655488201659324,0.27329528105729056,0.7267047189427095,1.0,0.0
0,0.15057993501377703,0.05656750629490367,1.353778235310842e-06,0.3049354245783028,0.3372772415245735,0.6627227584754265,1.0,0.0
0,0.14856483212408006,0.04242346494071074,9.210649970404658e-06,0.3177422903770075,0.26356996185771603,0.7364300381422839,1.0,0.0
0,0.16234358489121659,0.05835998557640017,1.0215476494638934e-08,0.30592733053442306,0.3326460631969087,0.6673539368030913,1.0,0.0
0,0.19999999999999735,0.11440205053182331,1.6116335624121425e-08,0.33959203589608944,0.35648456969055137,0.6435154303094487,1.0,0.0
0,0.0971343972672843,0.03662837450999345,5.971409095179985e-07,0.167777443362028,0.4525310453356167,0.5474689546643832,1.0,0.0
0,0.11337466061746809,0.034815465563520505,9.095646302030012e-08,0.17245369304444025,0.38264580499483575,0.6173541950051642,1.0,0.0
0,0.11420481019987686,0.03585201480478917,7.219738205993128e-08,0.22676717892463832,0.37398174598954953,0.6260182540104503,1.0,0.0
0,0.10530145401162594,0.047871244544956504,1.8428120671305667e-07,0.20319900531527962,0.4375488086136713,0.5624511913863286,1.0,0.0
