,mu1,lam1,mu2,sigma2,w1,w2,Target,Stimulation
0,0.1248397498829833,0.056280769035497384,7.279433210265106e-08,0.23152212194963637,0.38477452188721417,0.6152254781127859,1.0,0.0
0,0.17694131039457028,0.04781918292017292,8.086125156375705e-08,0.32926171838232426,0.26175002002237713,0.7382499799776229,1.0,0.0
0,0.19999999997999535,0.04520569635652703,4.103215776762777e-08,0.33146677869656416,0.3581678727820929,0.6418321272179072,1.0,0.0
0,0.19369432596145816,0.06423899102570886,1.2793167379245613e-08,0.33970202372739294,0.35238245647663774,0.6476175435233623,1.0,0.0
0,0.19999999934860122,0.0559891564717818,1.4401136124754648e-07,0.33575613512649577,0.3319717697366508,0.6680282302633492,1.0,0.0
0,0.16785001309795344,0.044741686774549795,7.468621383019306e-08,0.3588436179546577,0.29429683242516036,0.7057031675748398,1.0,0.0
0,0.2,0.09260241812649873,6.044900962957374e-08,0.2971085132743197,0.3041251695526326,0.6958748304473674,1.0,0.0
0,0.1830336798341027,0.06558598549573445,1.6105117944894083e-08,0.31524530709274584,0.28066192248744726,0.7193380775125529,1.0,0.0
0,0.2,0.059115430258665606,3.215564536882074e-08,0.3281748946864938,0.3062269397100187,0.6937730602899813,1.0,0.0
0,0.18399688771417033,0.06053488373364759,4.263103861584932e-08,0.30210869966542947,0.4042569393627614,0.5957430606372386,1.0,0.0
0,0.15890713834484027,0.04858495388283127,3.0594485958991706e-08,0.3180856205940639,0.24098086489292228,0.7590191351070777,1.0,0.0
0,0.19999999899181278,0.0626780794928015,2.4023759372303247e-08,0.29571856796751644,0.3111049356912202,0.6888950643087798,1.0,0.0
0,0.16249249031283422,0.044015658964647444,2.3455786160017725e-08,0.32066800930164685,0.299875795554916,0.700124204445084,1.0,0.0
0,0.14122921924437556,0.06594781834455596,3.3501888698694385e-08,0.2500409653599308,0.39722280821936046,0.6027771917806396,1.0,0.0
0,0.17701490680926701,0.07864945491644383,6.619402743408503e-08,0.3083093961761461,0.42165720126663586,0.5783427987333642,1.0,0.0
0,0.14344405832702323,0.05571742701264521,4.959572901159784e-08,0.25546889872279466,0.4154156051122421,0.5845843948877579,1.0,0.0
0,0.14462784731727654,0.030645463009172196,3.634119491871513e-07,0.3246773748027544,0.27121546413694836,0.7287845358630517,1.0,0.0
0,0.19999940898337268,0.10481633475749355,3.0220014106352404e-08,0.3091971860006675,0.2702062884642602,0.7297937115357398,1.0,0.0
0,0.1999999534480261,0.10442012469902073,3.233751782330366e-08,0.30922182327461956,0.32895801461926794,0.6710419853807321,1.0,0.0
0,0.15176492280277284,0.041889021621562765,1.3190996463143037e-07,0.2952170717034474,0.2664444579474341,0.7335555420525658,1.0,0.0
0,0.1999999999999735,0.08474150924102396,1.408462484285003e-07,0.3543503258988439,0.4287437215015848,0.5712562784984152,1.0,0.0
0,0.15934440686544865,0.05727991211704238,2.1737632509930084e-07,0.31528900429698675,0.2941101774791644,0.7058898225208357,1.0,0.0
0,0.15806263703625625,0.0675906239344768,4.481875360001871e-08,0.3171600047917669,0.32059639693149167,0.6794036030685083,1.0,0.0
0,0.1839857117508597,0.07668326933328239,5.612604104474093e-08,0.33255117606089923,0.37304445550531057,0.6269555444946895,1.0,0.0
0,0.19999999986955555,0.05767859528728907,5.87449872863273e-08,0.30164941158673525,0.30637728857911156,0.6936227114208884,1.0,0.0
0,0.1548202661633444,0.0471409249349871,3.542266248865574e-08,0.31154292241354414,0.30438772041865175,0.6956122795813482,1.0,0.0
0,0.1999996460077441,0.04141287444849796,7.486621485677403e-07,0.3210377412791768,0.27141492450534094,0.728585075494659,1.0,0.0
0,0.1273257653483193,0.03898731386951932,2.5179977440836624e-08,0.23273470952991618,0.3451276645401764,0.6548723354598236,1.0,0.0
0,0.14961538543821357,0.05067258517533306,5.0578799289717863e-08,0.30817506383049387,0.37697958984248753,0.6230204101575124,1.0,0.0
0,0.11799057032989493,0.043725283695357504,6.348741580704758e-08,0.28459510555254536,0.349820595419071,0.6501794045809289,1.0,0.0
