,mu1,lam1,mu2,sigma2,w1,w2,Target,Stimulation
0,0.1512398187179018,0.06448336308514163,4.5514033398638107e-07,0.28265856801435907,0.399552214261119,0.6004477857388809,1.0,0.0
0,0.13750547238033528,0.06596757517438817,3.5140099483357456e-08,0.2851046190902804,0.416387019726516,0.5836129802734841,1.0,0.0
0,0.18279642149567946,0.080890893070799,3.7908364280096553e-07,0.25709697686459676,0.4178616903857257,0.5821383096142744,1.0,0.0
0,0.1483514328436368,0.0518300861555383,3.4915707622605374e-07,0.28060016351229383,0.3966857739433775,0.6033142260566225,1.0,0.0
0,0.16839131709815433,0.04524554658853867,1.0571016024824948e-06,0.2674897455945585,0.31720709313228873,0.6827929068677112,1.0,0.0
0,0.15881213859424423,0.0497853955687111,1.575736428239069e-07,0.221866690101852,0.3669543206805021,0.633045679319498,1.0,0.0
0,0.1476795409054249,0.04263943186665304,3.3119958139353246e-08,0.28542872863488045,0.332682157288222,0.667317842711778,1.0,0.0
0,0.1999999999653866,0.08423117491209378,2.8078051493900016e-08,0.3265702606572488,0.34875119408687333,0.6512488059131266,1.0,0.0
0,0.1890641462726985,0.04881185075685118,2.8678200802689063e-08,0.32157482755937267,0.24996812750318717,0.7500318724968128,1.0,0.0
0,0.17854177316665543,0.11157634405110309,7.615479627242674e-08,0.3220887359083985,0.34133497236098376,0.6586650276390162,1.0,0.0
0,0.14475461438164916,0.04362475985126375,1.936352570592931e-08,0.3435529554946946,0.29030509520379616,0.7096949047962039,1.0,0.0
0,0.2,0.0716462992523821,1.0449633972746485e-07,0.3131191670422368,0.29058139425257534,0.7094186057474247,1.0,0.0
0,0.16494277287876374,0.07984637848853392,1.879778009566117e-08,0.3351978283654637,0.359955813269043,0.640044186730957,1.0,0.0
0,0.19315862372958667,0.06465253788590074,5.961318115478379e-07,0.33620430806094154,0.3078719322174413,0.6921280677825586,1.0,0.0
0,0.11444421183095957,0.03381259980732048,4.0168527972954684e-08,0.26600912101549995,0.3227480584788249,0.6772519415211751,1.0,0.0
0,0.12152766338763639,0.04148037437454069,5.1798430498370446e-08,0.20836958918673873,0.42020873211123755,0.5797912678887623,1.0,0.0
0,0.1379498649448754,0.042672401100787606,1.0480382215727379e-07,0.2178212255086189,0.38090641775033723,0.6190935822496627,1.0,0.0
0,0.15340657306593958,0.04815026699271787,1.7793694071811584e-07,0.3008558689469602,0.4030698116822199,0.5969301883177801,1.0,0.0
0,0.1673121687587193,0.04967865744933729,8.041726569196361e-07,0.28241526939113176,0.40111846352120323,0.5988815364787967,1.0,0.0
0,0.15669297642866145,0.05913613548229953,3.838478540363855e-08,0.3245966662891133,0.35941097487187235,0.6405890251281277,1.0,0.0
0,0.16926731055019084,0.0534138552460277,4.156954509232505e-07,0.3086004380841975,0.39140512743129396,0.6085948725687059,1.0,0.0
0,0.1733817264813185,0.0617622604299214,2.158562831999171e-07,0.28616921439964843,0.3852089203722787,0.6147910796277213,1.0,0.0
0,0.18157260833137032,0.05324577030632789,4.093448880941669e-06,0.2761699837895935,0.3344360103785033,0.6655639896214968,1.0,0.0
0,0.17922811355453516,0.057448295233677976,2.0578733989942847e-08,0.29611522909301874,0.3591370283469982,0.6408629716530019,1.0,0.0
0,0.11046507507284278,0.043442715716766625,5.155716687760823e-08,0.19292495093426537,0.4146158908739807,0.5853841091260192,1.0,0.0
0,0.17940342242517093,0.04152020068505158,4.067011004602707e-08,0.29373860131512597,0.3296045588261576,0.6703954411738424,1.0,0.0
0,0.16869630854465234,0.0720761250208754,1.864784997345853e-07,0.31679586724573117,0.3630316314629897,0.6369683685370101,1.0,0.0
0,0.19999999999999543,0.07435081882339822,7.2514519601774e-08,0.29760008338369504,0.46330291995006795,0.5366970800499319,1.0,0.0
0,0.10680076259905291,0.04006038751591318,1.4865228058422852e-07,0.16327885767183875,0.3850955851705716,0.6149044148294284,1.0,0.0
0,0.10583755830137068,0.04480226803049076,1.9905273375997306e-07,0.2066875209686317,0.4527116697689049,0.5472883302310951,1.0,0.0
0,0.09753995996701358,0.03444722202067161,8.576508993092143e-08,0.16534389090979273,0.386014576135503,0.6139854238644971,1.0,0.0
0,0.17977581060377448,0.06079389146879585,2.5122875675574314e-08,0.329056337613649,0.30137400996922575,0.6986259900307742,1.0,0.0
0,0.19441744468800665,0.08526306259866911,2.3726530716191315e-08,0.32705108258654814,0.3616642538838513,0.6383357461161487,1.0,0.0
0,0.19999999999679383,0.09298514165641113,1.282815899970089e-06,0.3137686590773987,0.34367378031027446,0.6563262196897256,1.0,0.0
0,0.19999999999987633,0.05628510344118426,1.9977961555994356e-07,0.3108142670269057,0.3144661129089286,0.6855338870910714,1.0,0.0
0,0.2,0.0703871302721147,2.5619588663237066e-08,0.3390848151558549,0.3541786351968201,0.64582136480318,1.0,0.0
0,0.16530206565548378,0.05046855893839482,5.694404377924316e-08,0.2753826120102674,0.3367631125794035,0.6632368874205965,1.0,0.0
0,0.19999999999999418,0.08052263937935829,3.882337178855606e-08,0.32554481268673696,0.39418951193062063,0.6058104880693793,1.0,0.0
0,0.2,0.06936227486576788,1.5808582742819068e-07,0.31721146846269743,0.35160115344487214,0.6483988465551278,1.0,0.0
0,0.16613601664724773,0.04482266900823693,3.041688545578775e-08,0.3278689639688786,0.2572358638925149,0.7427641361074852,1.0,0.0
0,0.1999926879165173,0.06168969716152772,2.1801203673948444e-06,0.35612105151458284,0.37272486017091755,0.6272751398290825,1.0,0.0
0,0.1708736712659993,0.03236723574992019,1.71577737637442e-05,0.32934803527557244,0.2916543901410241,0.7083456098589759,1.0,0.0
0,0.15688614999687145,0.07177246068874944,2.5731450692660076e-08,0.2855621762547947,0.4157702643897079,0.5842297356102921,1.0,0.0
0,0.1512867884070609,0.03686724744106489,5.36822157142118e-08,0.2851241612240515,0.30350245213902743,0.6964975478609726,1.0,0.0
0,0.17051440860059774,0.06591129661370165,1.55610828309371e-08,0.2509005146415293,0.4003966964789238,0.5996033035210763,1.0,0.0
0,0.15154013952894085,0.058027978589346996,3.811964535535452e-08,0.27470782666299703,0.3289408495296217,0.6710591504703783,1.0,0.0
0,0.17384071690113534,0.06765779110083184,6.840374009337129e-08,0.26459446072563864,0.4376937489217572,0.5623062510782428,1.0,0.0
0,0.16292165752047602,0.05704274328949837,3.1870084755335265e-08,0.26766321177421876,0.32430963343240937,0.6756903665675906,1.0,0.0
