,mu1,lam1,mu2,sigma2,mu3,sigma3,w1,w2,w3,score,Target,Stimulation
0,0.07731861412925824,0.041056492948276006,0.018236827471952318,0.11678279557468241,0.20012985903667935,0.18583612485169618,0.3814047903841742,0.4749313320797345,0.1436638775360913,0.23369864425643888,1.0,0.0
0,0.07724052163031983,0.033186389773748534,0.08868864950570855,0.07296679010003128,0.20000057509415403,0.17359649075374628,0.4712706721735083,0.37617103432904375,0.15255829349744796,0.07728665856670691,1.0,0.0
0,0.06751079434115795,0.03679606823802967,0.07273275711056247,0.08798982594421759,0.2000039738607294,0.19927400887321034,0.45612224053593164,0.3863062594713114,0.15757149999275705,0.11736015325067445,1.0,0.0
0,0.07023451979777133,0.0351131261518836,0.07016324237114685,0.08847518697349997,0.20141375869153186,0.18966338651288475,0.4053733601989655,0.44063499188632166,0.15399164791471287,0.12721624958778574,1.0,0.0
0,0.06726975808913056,0.035621232612556814,0.08397409603753503,0.06805504850501945,0.20000395468393145,0.16990163753159573,0.4729450470130586,0.3299045245828457,0.19715042840409566,0.07652335579787883,1.0,0.0
0,0.07163277236131822,0.027101835053984117,0.04296583315133631,0.08874331963609478,0.2000041309784132,0.1501743871849238,0.381010867455676,0.4733914130291122,0.14559771951521175,0.1696985488148505,1.0,0.0
0,0.07673225842188852,0.0271493021230385,0.06635015332142956,0.06932259734781326,0.20000165281181995,0.14792045100997978,0.3111054685973563,0.4364146268666746,0.2524799045359692,0.10823768918199118,1.0,0.0
0,0.07638931761413709,0.030710739221627856,0.047569987782992464,0.07918899458834823,0.20000000000000306,0.15640982329676797,0.318839798113205,0.49547957229013473,0.18568062959666004,0.16203931652033976,1.0,0.0
0,0.06919916230541406,0.03261455125793976,0.064754864766129,0.06110710900353598,0.20000200851222383,0.13026342617064934,0.4690911694996244,0.401416446393648,0.12949238410672773,0.08626434875291109,1.0,0.0
0,0.062277097454453846,0.026633514618838262,0.06051307041428167,0.068341862747862,0.20000020037192293,0.15612185256603603,0.3939833055410766,0.4574199307042792,0.14859676375464434,0.11338818069798393,1.0,0.0
0,0.13675788055158555,0.05002565138969023,4.5825438242169223e-11,0.21450946386187608,0.5999980802918705,0.2297165071797085,0.25675035130404505,0.7077538642812077,0.0354957844147473,0.35800798949620843,1.0,0.0
0,0.08514472263275213,0.045925394499241455,0.05767877671155424,0.15574396540379534,0.2000030116901594,0.3203861947143234,0.22629528010855043,0.5955642025329149,0.17814051735853467,0.2644066159013203,1.0,0.0
0,0.08956859051569634,0.03819865202183095,4.070856926536937e-06,0.2088161870124327,0.3627752252599069,0.385995438013519,0.24003026909327663,0.6834343704178083,0.07653536048891504,0.35937145307949253,1.0,0.0
0,0.09369833105490027,0.03755125605346881,0.10986967355007943,0.08745379188963415,0.20000733828147832,0.23452208873588234,0.32796219117874614,0.3308743546331842,0.34116345418806954,0.11209173498886499,1.0,0.0
0,0.1300246921709574,0.035128582640620555,0.10722154449896447,0.09941053988982622,0.20000062767493143,0.2881265371695894,0.24356374737923606,0.424207192165576,0.3322290604551879,0.14540434144102757,1.0,0.0
0,0.09577391369527663,0.04480466802336745,0.07369507326812315,0.1645274578260302,0.2000178153948884,0.39587424140403843,0.2265215565932225,0.6141952280979512,0.15928321530882614,0.25511426320507496,1.0,0.0
0,0.09149527962255162,0.03675482256179412,0.12074852430047985,0.09972085671912481,0.20000148400395457,0.301608971181022,0.32750713522737834,0.4236292191641218,0.24886364560849988,0.12087416871056972,1.0,0.0
