,mu1,lam1,mu2,sigma2,mu3,sigma3,w1,w2,w3,Target,Stimulation
0,0.03377833548414124,0.02364513167072114,0.0496547924659433,0.04066191173709605,0.3588170787208553,0.3082011682807173,0.7049213528748982,0.29507863646035754,1.066474420291063e-08,0.0,1.0
0,0.03314115782186162,0.022864909658100258,0.04932124876488539,0.03535776406742993,0.3480593755830331,0.3401327015705353,0.7041894315814865,0.2958105405409479,2.787756574046974e-08,0.0,1.0
0,0.03737191250617282,0.023978778408385294,0.05037736678090525,0.03002235910846085,0.33598895845705645,0.3458020038371634,0.735430409462796,0.26456958417455734,6.3626466755359625e-09,0.0,1.0
0,0.03218983874045297,0.022935058212233784,0.04840989823528381,0.04096227049126466,0.341266769200816,0.3457263895572909,0.7044220359919813,0.29557794930751347,1.4700505263222031e-08,0.0,1.0
0,0.031714752828888304,0.022774968223481466,0.049725128550782094,0.04053488703281124,0.3531767651781348,0.34129959913377556,0.6750943103696696,0.3249056792225828,1.0407747515735702e-08,0.0,1.0
0,0.039798084763006315,0.023146910011269672,0.05501992751333718,0.045450604596164644,0.34004032040666315,0.29961251781802495,0.6629110510625718,0.3370889330504511,1.588697721810831e-08,0.0,1.0
0,0.040825046013933636,0.025387025455245425,0.03944603040148611,0.06477597257054969,0.3469096393861562,0.28911864376643415,0.5904585668356108,0.4095413887591236,4.440526551312475e-08,0.0,1.0
0,0.04124189098242006,0.026179349089796383,0.04820546740863254,0.05702163958756408,0.33643170257675203,0.28620372048613735,0.680031605412971,0.319968386888255,7.698773928511365e-09,0.0,1.0
0,0.04579449332434823,0.02605687959965742,0.0517691958335963,0.05084352367757322,0.3445973444931357,0.25236128543156844,0.6149376801773717,0.38506230350274867,1.6319879570158643e-08,0.0,1.0
0,0.04158749330312497,0.02377166717412428,0.05463848480865418,0.043881172921432274,0.33637724279205394,0.28374990785994564,0.6594755311454098,0.340524444569204,2.428538620472674e-08,0.0,1.0
0,0.04517162647869637,0.02711440085769861,0.030322403403167025,0.07680852131704977,0.33426973455514675,0.23754752594630005,0.54788951109787,0.4521104763983386,1.2503791307315538e-08,0.0,1.0
0,0.04773170502931459,0.024935907855546023,0.06154096007188207,0.04720832823285658,0.32915524179828837,0.2677864695517773,0.6319385070699978,0.36806148640745356,6.522548735993108e-09,0.0,1.0
0,0.048652270266635746,0.026112881267126416,0.03743760044254236,0.07466581475917626,0.31839636275245736,0.23163257746716062,0.5552475540983236,0.44475243204399156,1.3857684891030118e-08,0.0,1.0
0,0.04907652606648253,0.02618608724728778,0.03578845571977533,0.07813351251448206,0.3185468589027632,0.2150266318632416,0.5444865108379862,0.4555134620738232,2.7088190731078807e-08,0.0,1.0
