,mu1,lam1,mu2,sigma2,mu3,sigma3,w1,w2,w3,Target,Stimulation
0,0.03190535983569236,0.02310571271938652,0.046413721297003926,0.03361505246021722,0.34575654935833944,0.35196632532144845,0.7326118083288871,0.26738818101248263,1.06586302436707e-08,0.0,0.0
0,0.032287309135832845,0.023464340165161218,0.047943289480001434,0.028375883813985994,0.3391944929260965,0.3702156843318456,0.7802658459265168,0.21973413971478464,1.4358698599386111e-08,0.0,0.0
0,0.0329244570022886,0.024069598757042128,0.04802265572347649,0.02669449839061451,0.33262481702925917,0.37392738496202915,0.7736026116520162,0.22639738282351726,5.524466696267421e-09,0.0,0.0
0,0.033176593979457845,0.02311388097201852,0.046816491175986255,0.02901468124807123,0.32835460397224725,0.3850580223395141,0.7801076354193639,0.21989235555563738,9.024998655392266e-09,0.0,0.0
0,0.04639700931683623,0.026039340809610928,0.05038427679395526,0.05774019187010439,0.33458322475728147,0.2563013780231719,0.6420108127489736,0.3579891727667508,1.4484275426231134e-08,0.0,0.0
0,0.04456635478370424,0.02678123608569561,0.033056222565300976,0.07880057723260124,0.3283776481576917,0.24980831405035164,0.5344506497847583,0.46554933971709145,1.0498150302818594e-08,0.0,0.0
0,0.05366855729179828,0.027548630258969052,0.05400261429408292,0.05805199781980911,0.3315182843237362,0.26181254988473346,0.6298697943304261,0.3701298191325493,3.865370245333983e-07,0.0,0.0
0,0.05132501713813217,0.0275123612718002,0.015986661689985526,0.08800297376643557,0.3114894015923172,0.19168510045563117,0.5226108903750603,0.4773890745240931,3.510084673160735e-08,0.0,0.0
0,0.04919728741498849,0.02793745652768637,0.05121433646372544,0.0599136274223132,0.34201963924004725,0.16144945205194447,0.6045898606646344,0.39541006522155575,7.411380995269584e-08,0.0,0.0
0,0.06595262031813064,0.02935244287633066,0.04627719632019198,0.08770902498541004,0.2907947337710786,0.014085030456142332,0.47351832747850725,0.5189313595941895,0.007550312927303286,0.0,0.0
0,0.05649816704233505,0.02700467085167313,0.06296760505030878,0.04369185369839619,0.2,0.08074330150099969,0.42945939485514906,0.40680388786269406,0.1637367172821569,0.0,0.0
0,0.05157904872469253,0.024173036360751587,0.04686034950754119,0.08689120056786778,0.20000070149271976,0.15148033756529186,0.308251030390459,0.5764134620498326,0.11533550755970849,0.0,0.0
0,0.07756105299948231,0.030316626476696636,0.06863021480748842,0.0810138730500668,0.20000224167687253,0.1565045098318479,0.35414754540322435,0.4793816782728529,0.16647077632392274,0.0,0.0
0,0.06078108372616279,0.027422483826565716,0.056824575754930176,0.06541861567936076,0.20008543242620355,0.1180484886253173,0.36586211034245175,0.5029558707656606,0.13118201889188774,0.0,0.0
0,0.07277795386612054,0.026260839027203317,0.061202827964174505,0.051423949062668714,0.20000000796688533,0.06493746174680133,0.42608714506557366,0.4577955611538394,0.116117293780587,0.0,0.0
0,0.06954988562644748,0.026925842862767432,0.06439372624455637,0.04388304076454522,0.2,0.05613463373313399,0.46604934780431184,0.3947085190451587,0.13924213315052955,0.0,0.0
0,0.06651897014032887,0.028125177694190092,9.419845120283157e-07,0.1252798433577961,0.2449409505240811,0.01804675980721314,0.45373705909750733,0.5462628793294456,6.157304692303012e-08,0.0,0.0
0,0.05618136066918899,0.02605994509387447,0.06404343825257172,0.054328234716385135,0.20000005096969842,0.07216413199553624,0.45515601926535193,0.43192861831975915,0.11291536241488886,0.0,0.0
0,0.06057963088799212,0.027770565408617272,0.060625389288578475,0.057299467245118654,0.20000017356350763,0.09280990309973153,0.41381534046968166,0.47889921559734416,0.10728544393297439,0.0,0.0
